date,deviceCategory,goal5Completions
2019-05-12,tablet,0
2019-05-13,desktop,0
2019-05-13,mobile,0
2019-05-13,tablet,0
2019-05-14,desktop,0
2019-05-14,mobile,1
2019-05-14,tablet,0
2019-05-15,desktop,0
2019-05-15,mobile,0
2019-05-15,tablet,0
2019-05-16,desktop,0
2019-05-16,mobile,0
2019-05-16,tablet,0
2019-05-17,desktop,2
2019-05-17,mobile,0
2019-05-17,tablet,0
2019-05-18,desktop,0
2019-05-18,mobile,0
2019-05-18,tablet,0
2019-05-19,desktop,0
2019-05-19,mobile,0
2019-05-19,tablet,0
2019-05-20,desktop,0
2019-05-20,mobile,0
2019-05-20,tablet,0
2019-05-21,desktop,0
2019-05-21,mobile,0
2019-05-21,tablet,0
2019-05-22,desktop,0
2019-05-22,mobile,0
2019-05-22,tablet,0
2019-05-23,desktop,0
2019-05-23,mobile,0
2019-05-23,tablet,0
2019-05-24,desktop,0
2019-05-24,mobile,0
2019-05-24,tablet,0
2019-05-25,desktop,0
2019-05-25,mobile,0
2019-05-25,tablet,0
2019-05-26,desktop,0
2019-05-26,mobile,1
2019-05-26,tablet,0
2019-05-27,desktop,0
2019-05-27,mobile,0
2019-05-27,tablet,0
2019-05-28,desktop,0
2019-05-28,mobile,1
2019-05-28,tablet,0
2019-05-29,desktop,0
2019-05-29,mobile,0
2019-05-29,tablet,0
2019-05-30,desktop,0
2019-05-30,mobile,0
2019-05-30,tablet,0
2019-05-31,desktop,0
2019-05-31,mobile,0
2019-05-31,tablet,0
2019-06-01,desktop,0
2019-06-01,mobile,0
2019-06-01,tablet,0
2019-06-02,desktop,0
2019-06-02,mobile,0
2019-06-02,tablet,0
2019-06-03,desktop,0
2019-06-03,mobile,0
2019-06-03,tablet,0
2019-06-04,desktop,0
2019-06-04,mobile,1
2019-06-04,tablet,0
2019-06-05,desktop,0
2019-06-05,mobile,0
2019-06-05,tablet,0
2019-06-06,desktop,2
2019-06-06,mobile,0
2019-06-06,tablet,0
2019-06-07,desktop,0
2019-06-07,mobile,0
2019-06-07,tablet,0
2019-06-08,desktop,1
2019-06-08,mobile,0
2019-06-08,tablet,0
2019-06-09,desktop,1
2019-06-09,mobile,1
2019-06-09,tablet,0
2019-06-10,desktop,1
2019-06-10,mobile,0
2019-06-10,tablet,0
2019-06-11,desktop,0
2019-06-11,mobile,0
2019-06-11,tablet,0
2019-06-12,desktop,0
2019-06-12,mobile,0
2019-06-12,tablet,0
2019-06-13,desktop,0
2019-06-13,mobile,0
2019-06-13,tablet,0
2019-06-14,desktop,0
2019-06-14,mobile,0
2019-06-14,tablet,0
2019-06-15,desktop,0
2019-06-15,mobile,1
2019-06-15,tablet,0
2019-06-16,desktop,1
2019-06-16,mobile,1
2019-06-16,tablet,0
2019-06-17,desktop,3
2019-06-17,mobile,1
2019-06-17,tablet,0
2019-06-18,desktop,1
2019-06-18,mobile,2
2019-06-18,tablet,0
2019-06-19,desktop,1
2019-06-19,mobile,0
2019-06-19,tablet,1
2019-06-20,desktop,0
2019-06-20,mobile,0
2019-06-20,tablet,0
2019-06-21,desktop,1
2019-06-21,mobile,1
2019-06-21,tablet,0
2019-06-22,desktop,0
2019-06-22,mobile,0
2019-06-22,tablet,0
2019-06-23,desktop,0
2019-06-23,mobile,0
2019-06-23,tablet,0
2019-06-24,desktop,1
2019-06-24,mobile,1
2019-06-24,tablet,0
2019-06-25,desktop,1
2019-06-25,mobile,0
2019-06-25,tablet,0
2019-06-26,desktop,0
2019-06-26,mobile,0
2019-06-26,tablet,0
2019-06-27,desktop,1
2019-06-27,mobile,0
2019-06-27,tablet,0
2019-06-28,desktop,2
2019-06-28,mobile,0
2019-06-28,tablet,1
2019-06-29,desktop,1
2019-06-29,mobile,0
2019-06-29,tablet,0
2019-06-30,desktop,0
2019-06-30,mobile,0
2019-06-30,tablet,0
2019-07-01,desktop,1
2019-07-01,mobile,2
2019-07-01,tablet,0
2019-07-02,desktop,2
2019-07-02,mobile,1
2019-07-02,tablet,0
2019-07-03,desktop,3
2019-07-03,mobile,0
2019-07-03,tablet,0
2019-07-04,desktop,1
2019-07-04,mobile,3
2019-07-04,tablet,0
2019-07-05,desktop,0
2019-07-05,mobile,0
2019-07-05,tablet,0
2019-07-06,desktop,0
2019-07-06,mobile,0
2019-07-06,tablet,0
2019-07-07,desktop,0
2019-07-07,mobile,0
2019-07-07,tablet,0
2019-07-08,desktop,1
2019-07-08,mobile,1
2019-07-08,tablet,0
2019-07-09,desktop,1
2019-07-09,mobile,1
2019-07-09,tablet,0
2019-07-10,desktop,4
2019-07-10,mobile,1
2019-07-10,tablet,0
2019-07-11,desktop,0
2019-07-11,mobile,1
2019-07-11,tablet,0
2019-07-12,desktop,0
2019-07-12,mobile,1
2019-07-12,tablet,0
2019-07-13,desktop,2
2019-07-13,mobile,1
2019-07-13,tablet,0
2019-07-14,desktop,1
2019-07-14,mobile,0
2019-07-14,tablet,1
2019-07-15,desktop,3
2019-07-15,mobile,3
2019-07-15,tablet,0
2019-07-16,desktop,3
2019-07-16,mobile,1
2019-07-16,tablet,0
2019-07-17,desktop,0
2019-07-17,mobile,1
2019-07-17,tablet,0
2019-07-18,desktop,0
2019-07-18,mobile,1
2019-07-18,tablet,0
2019-07-19,desktop,3
2019-07-19,mobile,1
2019-07-19,tablet,0
2019-07-20,desktop,1
2019-07-20,mobile,1
2019-07-20,tablet,1
2019-07-21,desktop,0
2019-07-21,mobile,2
2019-07-21,tablet,0
2019-07-22,desktop,2
2019-07-22,mobile,0
2019-07-22,tablet,0
2019-07-23,desktop,3
2019-07-23,mobile,0
2019-07-23,tablet,0
2019-07-24,desktop,1
2019-07-24,mobile,2
2019-07-24,tablet,0
2019-07-25,desktop,2
2019-07-25,mobile,0
2019-07-25,tablet,0
2019-07-26,desktop,0
2019-07-26,mobile,0
2019-07-26,tablet,0
2019-07-27,desktop,0
2019-07-27,mobile,2
2019-07-27,tablet,0
2019-07-28,desktop,1
2019-07-28,mobile,2
2019-07-28,tablet,0
2019-07-29,desktop,1
2019-07-29,mobile,0
2019-07-29,tablet,0
2019-07-30,desktop,0
2019-07-30,mobile,1
2019-07-30,tablet,1
2019-07-31,desktop,1
2019-07-31,mobile,0
2019-07-31,tablet,0
2019-08-01,desktop,1
2019-08-01,mobile,3
2019-08-01,tablet,0
2019-08-02,desktop,3
2019-08-02,mobile,1
2019-08-02,tablet,0
2019-08-03,desktop,0
2019-08-03,mobile,0
2019-08-03,tablet,0
2019-08-04,desktop,1
2019-08-04,mobile,1
2019-08-04,tablet,0
2019-08-05,desktop,1
2019-08-05,mobile,0
2019-08-05,tablet,0
2019-08-06,desktop,1
2019-08-06,mobile,1
2019-08-06,tablet,0
2019-08-07,desktop,3
2019-08-07,mobile,3
2019-08-07,tablet,0
2019-08-08,desktop,1
2019-08-08,mobile,1
2019-08-08,tablet,0
2019-08-09,desktop,2
2019-08-09,mobile,2
2019-08-09,tablet,0
2019-08-10,desktop,0
2019-08-10,mobile,1
2019-08-10,tablet,0
2019-08-11,desktop,5
2019-08-11,mobile,2
2019-08-11,tablet,1
2019-08-12,desktop,2
2019-08-12,mobile,6
2019-08-12,tablet,0
2019-08-13,desktop,5
2019-08-13,mobile,4
2019-08-13,tablet,0
2019-08-14,desktop,1
2019-08-14,mobile,1
2019-08-14,tablet,0
2019-08-15,desktop,0
2019-08-15,mobile,0
2019-08-15,tablet,0
2019-08-16,desktop,0
2019-08-16,mobile,0
2019-08-16,tablet,0
2019-08-17,desktop,0
2019-08-17,mobile,3
2019-08-17,tablet,0
2019-08-18,desktop,0
2019-08-18,mobile,3
2019-08-18,tablet,0
2019-08-19,desktop,1
2019-08-19,mobile,2
2019-08-19,tablet,0
2019-08-20,desktop,2
2019-08-20,mobile,2
2019-08-20,tablet,0
2019-08-21,desktop,3
2019-08-21,mobile,1
2019-08-21,tablet,0
2019-08-22,desktop,2
2019-08-22,mobile,0
2019-08-22,tablet,0
2019-08-23,desktop,1
2019-08-23,mobile,2
2019-08-23,tablet,0
2019-08-24,desktop,0
2019-08-24,mobile,2
2019-08-24,tablet,0
2019-08-25,desktop,1
2019-08-25,mobile,0
2019-08-25,tablet,0
2019-08-26,desktop,1
2019-08-26,mobile,1
2019-08-26,tablet,0
2019-08-27,desktop,4
2019-08-27,mobile,2
2019-08-27,tablet,0
2019-08-28,desktop,2
2019-08-28,mobile,1
2019-08-28,tablet,1
2019-08-29,desktop,2
2019-08-29,mobile,1
2019-08-29,tablet,0
2019-08-30,desktop,0
2019-08-30,mobile,1
2019-08-30,tablet,0
2019-08-31,desktop,1
2019-08-31,mobile,2
2019-08-31,tablet,0
2019-09-01,desktop,1
2019-09-01,mobile,1
2019-09-01,tablet,0
2019-09-02,desktop,4
2019-09-02,mobile,4
2019-09-02,tablet,0
2019-09-03,desktop,4
2019-09-03,mobile,1
2019-09-03,tablet,1
2019-09-04,desktop,1
2019-09-04,mobile,2
2019-09-04,tablet,0
2019-09-05,desktop,6
2019-09-05,mobile,2
2019-09-05,tablet,0
2019-09-06,desktop,3
2019-09-06,mobile,1
2019-09-06,tablet,0
2019-09-07,desktop,0
2019-09-07,mobile,1
2019-09-07,tablet,0
2019-09-08,desktop,2
2019-09-08,mobile,2
2019-09-08,tablet,0
2019-09-09,desktop,9
2019-09-09,mobile,3
2019-09-09,tablet,0
2019-09-10,desktop,4
2019-09-10,mobile,1
2019-09-10,tablet,0
2019-09-11,desktop,0
2019-09-11,mobile,1
2019-09-11,tablet,0
2019-09-12,desktop,1
2019-09-12,mobile,1
2019-09-12,tablet,0
2019-09-13,desktop,3
2019-09-13,mobile,0
2019-09-13,tablet,0
2019-09-14,desktop,0
2019-09-14,mobile,0
2019-09-14,tablet,0
2019-09-15,desktop,1
2019-09-15,mobile,1
2019-09-15,tablet,0
2019-09-16,desktop,4
2019-09-16,mobile,0
2019-09-16,tablet,0
2019-09-17,desktop,2
2019-09-17,mobile,4
2019-09-17,tablet,0
2019-09-18,desktop,4
2019-09-18,mobile,3
2019-09-18,tablet,0
2019-09-19,desktop,1
2019-09-19,mobile,0
2019-09-19,tablet,1
2019-09-20,desktop,1
2019-09-20,mobile,0
2019-09-20,tablet,0
2019-09-21,desktop,1
2019-09-21,mobile,2
2019-09-21,tablet,0
2019-09-22,desktop,1
2019-09-22,mobile,0
2019-09-22,tablet,0
2019-09-23,desktop,3
2019-09-23,mobile,1
2019-09-23,tablet,0
2019-09-24,desktop,4
2019-09-24,mobile,3
2019-09-24,tablet,1
2019-09-25,desktop,1
2019-09-25,mobile,1
2019-09-25,tablet,0
2019-09-26,desktop,1
2019-09-26,mobile,0
2019-09-26,tablet,0
2019-09-27,desktop,1
2019-09-27,mobile,1
2019-09-27,tablet,0
2019-09-28,desktop,0
2019-09-28,mobile,2
2019-09-28,tablet,0
2019-09-29,desktop,3
2019-09-29,mobile,0
2019-09-29,tablet,0
2019-09-30,desktop,2
2019-09-30,mobile,0
2019-09-30,tablet,0
2019-10-01,desktop,3
2019-10-01,mobile,3
2019-10-01,tablet,0
2019-10-02,desktop,1
2019-10-02,mobile,2
2019-10-02,tablet,0
2019-10-03,desktop,1
2019-10-03,mobile,3
2019-10-03,tablet,0
2019-10-04,desktop,4
2019-10-04,mobile,1
2019-10-04,tablet,0
2019-10-05,desktop,1
2019-10-05,mobile,3
2019-10-05,tablet,0
2019-10-06,desktop,1
2019-10-06,mobile,2
2019-10-06,tablet,0
2019-10-07,desktop,4
2019-10-07,mobile,2
2019-10-07,tablet,0
2019-10-08,desktop,6
2019-10-08,mobile,2
