date,pagePath,exits
2019-06-27,/blog/congratulations-cohort-e29-graduates/,1
2019-06-27,/blog/employers-catriona-dick-zonal/,1
2019-06-27,/blog/find-inspiration-kats-student-project/,1
2019-06-27,/blog/meet-our-graduates-daniel-at-dog/,1
2019-06-27,/blog/meet-wojtek-ux-veteran-and-codeclan-instructor/,1
2019-06-27,/blog/most-asked-questions/,1
2019-06-27,/blog/new-funding-opens-up-careers-in-coding/?fbclid=IwAR28X6Cs6FmQHi0Jxlbx4Yj6nZiGZN9SYVGFzIX48-8_qyojXzQzTv2DU9A,1
2019-06-27,/courses/edaid-apply/,1
2019-06-27,/courses/professional-software-development/apply/course_application_1,1
2019-06-27,/courses/professional-software-development/student-projects/,1
2019-06-27,/courses/statistical-modelling/,1
2019-06-27,/data-analysis-announcement/apply-for-data-analysis/,1
2019-06-27,/data-analysis-announcement/cost-and-funding/,1
2019-06-27,/digital-careers/data-scientist/,1
2019-06-27,/digital-careers/product-owner/,1
2019-06-27,/digital-careers/ux-consultant/,1
2019-06-27,/events/info-taster-session-events/?mc_cid=93a9092e93&mc_eid=1b73b344b8,1
2019-06-27,/events/other-events/,1
2019-06-27,/for-employers/become-a-partner/,1
2019-06-27,/highlands-academy/,1
2019-06-27,/inverness/?fbclid=IwAR2eqnNpnCVIFjt6TTmdG2eK2APOpDWayBiEWvEyfvaFYBXvTdeTHot7XTg,1
2019-06-27,/inverness/?fbclid=IwAR3fXfoCtm6MA03U6NyHl-vqZhk-CXe5rtbd3QlgGylAcFj6okF4s8Smllc,1
2019-06-27,/nikos,1
2019-06-27,/pre-course-work-data-analysis/,1
2019-06-27,/the-codeclan-experience/,1
2019-06-27,/the-codeclan-experience/the-alumni/,1
2019-06-28,/about-us/,1
2019-06-28,/about-us/become-an-instructor/part-time-teaching/,1
2019-06-28,/blog/,1
2019-06-28,/blog/9-common-misconceptions-coding/,1
2019-06-28,/blog/9-websites-start-coding-journey/,1
2019-06-28,/blog/category/employers/,1
2019-06-28,/blog/ceo-scottish-tech-startup-awards/,1
2019-06-28,/blog/claires-coding-journey-from-hobby-to-career/,1
2019-06-28,/blog/codebar-edinburgh-second-anniversary/?fbclid=IwAR2VJ0c9PFq2_UqN1UeQ4I3JARM2c6QETIlGP2FdKDhbWAI2qBzsJSMzDG0,1
2019-06-28,/blog/codebar-edinburgh-second-anniversary/?fbclid=IwAR30kSzrX2evL54uD_YB5562-sr6mQNHC-1sGHYCQ8mpqhIud95bJYFu87A,1
2019-06-28,/blog/day-life-web-developer/,1
2019-06-28,/blog/graduates-hayley-microbiologist-software-developer/,1
2019-06-28,/blog/graduates-peter-tester-junior-software-developer/,1
2019-06-28,/blog/hire-a-developer-technical-interviews/,1
2019-06-28,/blog/meet-our-grads-alex-self-published-game-developer/,1
2019-06-28,/blog/meet-our-graduates-alex-junior-software-developer/,1
2019-06-28,/blog/meet-our-graduates-daniel-at-dog/,1
2019-06-28,/blog/page/2/,1
2019-06-28,/blog/peter-support-engineer-freeagent/,1
2019-06-28,/blog/top-networking-events-scotland/,1
2019-06-28,/courses/bespoke-courses/,1
2019-06-28,/courses/full-stack-web-development/apply-inverness/,1
2019-06-28,/courses/professional-software-development/career-support/,1
2019-06-28,/courses/professional-software-development/sarahs-reskilling-story/,1
2019-06-28,/courses/professional-software-development/student-case-studies/,1
2019-06-28,/courses/understanding-programming/,1
2019-06-28,/data-analysis-announcement/apply-for-data-analysis/data_analysis_application_2,1
2019-06-28,/data-analysis-announcement/data-course-application-process/,1
2019-06-28,/digital-careers/,1
2019-06-28,/digital-careers/ux-consultant/,1
2019-06-28,/for-employers/become-a-partner/,1
2019-06-28,/for-employers/employer-case-studies/zonal-case-study/,1
2019-06-28,/for-employers/hire-with-codeclan/,1
2019-06-28,/for-employers/sponsorships/,1
2019-06-28,/highlands-academy/,1
2019-06-28,/pre-course-work-data-analysis/,1
2019-06-28,/the-codeclan-experience/,1
2019-06-28,/the-codeclan-experience/a-typical-day/,1
2019-06-29,/?fbclid=IwAR38OT7WJDjA0mkzpa0zRZx0krOOFVPWLwjtnX2yBWrF49LiAMu7XO8vf4k,1
2019-06-29,/about-us/,1
2019-06-29,/about-us/become-a-ta-data/,1
2019-06-29,/blog/,1
2019-06-29,/blog/2018-our-year-in-review/,1
2019-06-29,/blog/7-celebrities-didnt-know-code/,1
2019-06-29,/blog/apply-immersive-programming-course/,1
2019-06-29,/blog/category/employers/,1
2019-06-29,/blog/category/whats-new/,1
2019-06-29,/blog/codebar-edinburgh-second-anniversary/,1
2019-06-29,/blog/codebar-edinburgh-second-anniversary/?fbclid=IwAR1QYKctUGngf0CovEjSYEp9zt1VnoTc7F72ARlbqDxEYfkOLTZhSTb3pQo,1
2019-06-29,/blog/codebar-edinburgh-second-anniversary/?fbclid=IwAR2mRg7AKkXj6YQXarLyXPGXaTuDHg6tawZ9L9-BQAhbHrDUcQUize-_BQc,1
2019-06-29,/blog/graduates-hayley-microbiologist-software-developer/,1
2019-06-29,/blog/hire-a-developer-technical-interviews/,1
2019-06-29,/blog/meet-our-graduates-tom-software-developer-inoapps/,1
2019-06-29,/blog/overcoming-your-interview-fears/?fbclid=IwAR0UAXz9Nz0h6QwQbp0hZuHcE1pZaqUEv25lfv3aajVAX3PPDtxOr6OMioI,1
2019-06-29,/blog/overcoming-your-interview-fears/?fbclid=IwAR0YZ2Zg3MJCkOTT8yR_mAheZscBrkkVzJYN2ia5azJsY8CotLAqYw0rNXM,1
2019-06-29,/blog/tag/scholarship/,1
2019-06-29,/courses/bespoke-courses/,1
2019-06-29,/courses/full-stack-web-development/,1
2019-06-29,/courses/glasgow/,1
2019-06-29,/courses/intro-to-r/,1
2019-06-29,/courses/professional-software-development/apply/course_application_2,1
2019-06-29,/courses/professional-software-development/career-support/,1
2019-06-29,/courses/professional-software-development/curriculum/,1
2019-06-29,/courses/programming-with-r/,1
2019-06-29,/data-analysis-announcement/data-course-application-process/,1
2019-06-29,/events/edinburgh/,1
2019-06-29,/for-employers/upskill-your-staff/,1
2019-06-29,/glasgow/?fbclid=IwAR3bU_3cxNU419J2B-_34vJFMQp7H4oC_Waa50KexKgnPZb8p4j2d2J-51U,1
2019-06-29,/highlands-academy/,1
2019-06-29,/pre-course-work/codeclan pre course work,1
2019-06-30,/about-us/,1
2019-06-30,/about-us/become-an-instructor/part-time-teaching/,1
2019-06-30,/about-us/join-us/,1
2019-06-30,/about-us/our-team/our-board/,1
2019-06-30,/blog/,1
2019-06-30,/blog/built-munro-bagger-site/,1
2019-06-30,/blog/category/careers-in-tech/,1
2019-06-30,/blog/claires-coding-journey-from-hobby-to-career/,1
2019-06-30,/blog/congratulations-cohort-e29-graduates/?fbclid=IwAR2aV2GeMa8cZPoSnfA23iUPhGJEIRrd6oihzduvHi0cPudgr74yX4RBSRI,1
2019-06-30,/blog/finding-your-feet-when-train-work-digital-alumni-advice/,1
2019-06-30,/blog/learn-to-code-working/,1
2019-06-30,/blog/most-asked-questions/,1
2019-06-30,/blog/new-career-in-tech-autumn/,1
2019-06-30,/blog/scottish-companies-tech-gender-gap/,1
2019-06-30,/blog/why-learn-coding/coding-guide-download/,1
2019-06-30,/courses/bespoke-courses/,1
2019-06-30,/courses/data-carpentry/,1
2019-06-30,/courses/edinburgh/,1
2019-06-30,/courses/full-stack-web-development/cost-and-funding/,1
2019-06-30,/courses/professional-software-development/apply/,1
2019-06-30,/courses/professional-software-development/apply/course_application_2,1
2019-06-30,/courses/programming-with-r/,1
2019-06-30,/courses/ux-design-fundamentals/,1
2019-06-30,/data-analysis-announcement/apply-for-data-analysis/data_analysis_application_2,1
2019-06-30,/digital-careers/?fbclid=IwAR2IwPK_khR7-m5OYUCutR_kh98nI2HPyPB7jpWKrwKfZgeHHibr97gNjhM,1
2019-06-30,/digital-careers/?fbclid=IwAR3px5yHOl3oXwEOEI_JVOmkJJil9Y6wMKgf2ZM_ycO6taOxP1wBfIlbvzY,1
2019-06-30,/digital-careers/data-scientist/,1
2019-06-30,/digital-careers/product-owner/,1
2019-06-30,/digital-careers/ux-consultant/,1
2019-06-30,/edinburgh/,1
2019-06-30,/enquire/,1
2019-06-30,/for-employers/sponsorships/,1
2019-06-30,/for-employers/upskill-your-staff/,1
2019-06-30,/the-codeclan-experience/,1
2019-06-30,/the-codeclan-experience/a-typical-day/,1
2019-07-01,/about-us/become-an-instructor/,1
2019-07-01,/about-us/become-an-instructor/part-time-teaching/,1
2019-07-01,/about-us/join-us/,1
2019-07-01,/blog/9-common-misconceptions-coding/,1
2019-07-01,/blog/career-change-into-digital/,1
2019-07-01,/blog/category/employers/page/2/,1
2019-07-01,/blog/category/learning-to-code/page/3/,1
2019-07-01,/blog/codebar-edinburgh-glasgow-coding/,1
2019-07-01,/blog/codeclan-glasgow-employer-partners/,1
2019-07-01,/blog/congratulations-cohort-e29-graduates/,1
2019-07-01,/blog/employers-catriona-dick-zonal/,1
2019-07-01,/blog/glasgow-coding-bootcamp-career/,1
2019-07-01,/blog/graduate-milestone-diversity/?mc_cid=387296b2e8&mc_eid=db857d121d,1
2019-07-01,/blog/graduate-natalie-ux-analyst/,1
2019-07-01,/blog/meet-our-graduates-alex-junior-software-developer/,1
2019-07-01,/blog/meet-our-graduates-daniel-at-dog/,1
2019-07-01,/blog/meet-wojtek-ux-veteran-and-codeclan-instructor/,1
2019-07-01,/blog/most-asked-questions/,1
2019-07-01,/blog/page/3/,1
2019-07-01,/blog/retrain-as-a-data-analyst/,1
2019-07-01,/blog/scotland-demand-for-developers-growing/?fbclid=IwAR1_LPSEGrDX6sBP5FW4AVkxxw_Cb4m0GABnyjaNkR3zozPypFEwGo2Y9Zw,1
2019-07-01,/blog/why-learn-coding/coding-guide-download/,1
2019-07-01,/campuses/,1
2019-07-01,/courses/data-carpentry/,1
2019-07-01,/courses/professional-software-development/career-support/,1
2019-07-01,/courses/visualisation-r/,1
2019-07-01,/data-analysis-announcement/apply-for-data-analysis/,1
2019-07-01,/data-analysis-announcement/apply-for-data-analysis/data_analysis_application_2,1
2019-07-01,/digital-careers/product-owner/,1
2019-07-01,/digital-careers/software-developer/,1
2019-07-01,/events/glasgow/,1
2019-07-01,/events/glasgow/?fbclid=IwAR2IQAbka-Ky0A0tCKnSBzxAkwij-rhcq5xYeyW3vGojieLNmPXA0lJLrbs,1
2019-07-01,/for-employers/become-a-partner/,1
2019-07-01,/for-employers/client-xperience/,1
2019-07-01,/for-employers/community-outreach/,1
2019-07-01,/for-employers/hire-with-codeclan/,1
2019-07-01,/for-employers/upskill-your-staff/,1
2019-07-01,/glasgow/?fbclid=IwAR2ZnEHOEuVjZ6OO7cb-q8-55xcJCSe9M7aMKpZeesf7M4HdUnjYD0COtPQ,1
2019-07-01,/highlands-academy/,1
2019-07-01,/tech-boom/zonal-case-study/,1
2019-07-01,/webinars/,1
2019-07-02,/about-us/become-an-instructor/part-time-teaching/,1
2019-07-02,/blog/500-graduates-in-employment/,1
2019-07-02,/blog/career-change-into-digital/,1
2019-07-02,/blog/category/employers/,1
2019-07-02,/blog/codeclan-launches-new-data-analysis-course/,1
2019-07-02,/blog/congratulations-cohort-e29-graduates/?fbclid=IwAR2aV2GeMa8cZPoSnfA23iUPhGJEIRrd6oihzduvHi0cPudgr74yX4RBSRI,1
2019-07-02,/blog/glasgow-coding-bootcamp-career/,1
2019-07-02,/blog/graduates-charley-junior-developer/,1
2019-07-02,/blog/hiring-developers-for-the-future/,1
